Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,75.6,76.27,74.68,75.2,62.51,87147120
2015-04-30,75.11,76.96,74.97,76.9,63.92,105036540
2015-05-04,76.9,76.9,76.9,76.9,63.92,0
2015-05-05,77.2,80.6,76.8,80.21,66.68,136580620
2015-05-06,80.36,80.98,78.64,79.2,65.84,110343180
2015-05-07,78.85,78.89,75.97,76.5,63.59,111790370
2015-05-08,76.3,76.67,75.07,75.5,62.76,109570490
2015-05-12,75.5,76.7,74.33,75.19,62.5,99583780
2015-05-13,75.42,76.07,74.7,75.24,62.54,108370700
2015-05-14,75.04,75.35,73.6,74.31,61.77,89950110
2015-05-15,74.51,75.18,73.74,75.05,62.39,66428900
2015-05-18,75.49,76.05,75.09,75.36,62.64,91255640
2015-05-19,75.35,75.35,73.03,73.35,60.97,95117880
2015-05-20,73.24,73.58,71.41,71.6,59.52,111312700
2015-05-21,71.77,73.59,71.15,73.25,60.89,98610820
2015-05-22,73.31,74.67,73.06,74.35,61.8,130057270
2015-05-25,74.4,74.74,72.91,74.46,61.9,60933420
2015-05-26,74.65,75.16,73.9,74.67,62.07,80631210
2015-05-27,74.5,74.5,72.41,74.23,61.7,110149140
2015-05-28,74.0,74.97,73.32,73.6,61.18,83529650
2015-05-29,73.7,76.13,73.5,73.5,61.1,136698370
2015-06-01,73.7,74.49,72.65,72.65,60.39,113205280
2015-06-02,72.88,74.25,72.25,73.92,61.45,75392090
2015-06-03,74.19,74.35,71.6,71.72,59.62,107211510
2015-06-04,71.69,72.2,70.55,71.25,59.23,109970350
2015-06-05,71.2,71.75,70.2,70.61,58.7,77281110
2015-06-08,70.8,71.05,69.15,69.17,57.5,102748480
2015-06-09,69.26,70.35,68.41,70.21,58.36,98748730
2015-06-10,70.51,72.07,70.3,71.51,59.44,91552570
2015-06-11,71.14,72.55,70.23,72.55,60.69,123890170
2015-06-15,72.03,72.27,70.6,71.8,60.06,102080440
2015-06-16,71.56,73.8,70.96,73.5,61.48,107571400
2015-06-17,73.48,74.41,72.78,72.81,60.91,86995650
2015-06-18,73.2,74.37,72.6,72.98,61.05,91400010
2015-06-19,73.19,73.38,71.56,71.56,59.86,92741580
2015-06-22,72.05,72.46,71.5,72.0,60.23,74326940
2015-06-23,72.3,72.37,71.5,72.01,60.24,52938560
2015-06-24,72.1,72.5,71.35,71.98,60.21,56452820
2015-06-25,71.95,72.24,71.42,71.42,59.74,45477110
2015-06-26,71.39,71.47,70.4,70.6,59.06,98330570
2015-06-29,69.18,70.97,69.03,70.2,58.72,77616070
2015-06-30,70.2,72.5,70.05,72.35,60.52,99473820
2015-07-01,72.3,72.97,70.71,71.0,59.39,101154440
2015-07-02,71.0,71.3,70.17,70.54,59.01,83756690
2015-07-03,70.6,71.15,69.9,70.67,59.12,58707532
2015-07-06,69.93,70.59,68.08,68.45,57.26,123570110
2015-07-07,68.47,69.68,68.12,68.77,57.53,103684770
2015-07-08,68.51,68.94,66.5,67.73,56.66,160173700
2015-07-09,68.17,69.38,67.7,69.35,58.01,84780130
2015-07-10,69.6,71.2,69.57,71.06,59.44,108780680
2015-07-13,70.75,72.94,70.75,72.94,61.02,231582290
2015-07-14,72.8,73.9,72.31,73.9,61.82,110524300
2015-07-15,73.78,74.0,72.96,74.0,61.9,79249180
2015-07-16,74.0,74.39,73.53,74.21,62.08,56795770
2015-07-17,74.19,75.73,73.57,75.52,63.17,88937350
2015-07-20,75.4,75.7,73.87,74.1,61.99,89338110
2015-07-21,73.97,75.86,73.41,75.55,63.2,108990256
2015-07-22,75.22,75.97,74.5,74.6,62.41,99433200
2015-07-23,74.61,74.69,72.51,72.7,60.82,91626820
2015-07-24,72.51,72.57,70.25,70.45,58.93,133887760
2015-07-27,70.4,70.45,67.35,68.48,57.29,209986640
2015-07-28,68.21,70.73,67.4,69.55,58.18,181247650
2015-07-29,69.89,71.49,69.66,71.2,59.56,123880080
2015-07-30,71.37,72.79,70.91,72.2,60.4,107101630
2015-07-31,71.96,72.55,70.21,72.3,60.48,153437500
2015-08-03,71.5,71.75,70.43,71.1,59.48,117599820
2015-08-04,70.8,72.43,70.51,72.3,60.48,99409330
2015-08-05,72.62,74.14,72.33,73.49,61.48,113008940
2015-08-06,73.21,73.9,72.11,72.25,60.44,102421110
2015-08-07,72.7,74.4,72.57,74.2,62.07,105214340
2015-08-10,74.2,75.17,73.5,75.16,62.87,84327190
2015-08-11,75.16,75.67,73.2,73.2,61.23,113655080
2015-08-12,72.99,74.2,72.52,73.4,61.4,98910440
2015-08-13,73.8,74.44,73.12,73.7,61.65,77333790
2015-08-14,73.65,74.86,73.27,74.43,62.26,73226070
2015-08-17,74.0,74.19,72.81,73.0,61.07,94182540
2015-08-18,72.71,73.42,72.04,72.45,60.61,87653250
2015-08-19,72.3,73.26,71.27,71.5,59.81,105333980
2015-08-20,71.1,72.57,70.88,72.05,60.27,108445080
2015-08-21,71.03,71.57,69.86,69.86,58.44,118509720
2015-08-24,68.02,69.23,66.75,68.53,57.33,232160270
2015-08-25,68.6,71.0,68.6,70.79,59.22,145878970
2015-08-26,70.6,71.28,69.51,71.0,59.39,129671460
2015-08-27,71.91,73.9,71.8,73.8,61.74,153628490
2015-08-28,74.46,75.06,72.9,74.82,62.59,174611890
2015-08-31,74.31,74.53,73.08,74.5,62.32,152930380
2015-09-01,74.4,74.92,72.72,73.14,61.18,132717170
2015-09-02,72.97,74.18,72.22,72.9,60.98,139406370
2015-09-03,73.5,74.5,73.22,74.15,62.03,106955860
2015-09-04,73.73,74.28,73.5,73.96,61.87,80709310
2015-09-07,73.67,73.9,73.36,73.81,61.74,49845340
2015-09-08,74.1,75.4,74.04,74.9,62.66,98662390
2015-09-09,75.6,75.75,74.46,74.65,62.45,85993260
2015-09-10,74.02,74.82,73.61,74.3,62.15,93367053
2015-09-11,74.28,74.42,73.69,74.1,61.99,57012070
2015-09-14,73.89,75.23,73.87,74.88,62.64,76431280
